Template,Element,PositionX,PositionY,Height,Width
arcgis_10_6_reference_landscape_bottom.mxd, country,10,42,8,55
arcgis_10_6_reference_landscape_bottom.mxd, create_date_time,370,49.5,4,40
arcgis_10_6_reference_landscape_bottom.mxd, create_date_time_label,348,49.5,4,20
arcgis_10_6_reference_landscape_bottom.mxd, data_sources,73,10,5,148
arcgis_10_6_reference_landscape_bottom.mxd, disclaimer,348,10,10,62
arcgis_10_6_reference_landscape_bottom.mxd, donor_credit,348,19,10.5,62
arcgis_10_6_reference_landscape_bottom.mxd, glide_no,370,38.5,4,40
arcgis_10_6_reference_landscape_bottom.mxd, glide_no_label,368,38.5,4,20
arcgis_10_6_reference_landscape_bottom.mxd, horizontal_divide1,73,17,0,148
arcgis_10_6_reference_landscape_bottom.mxd, horizontal_divide2,348,55,0.3528,62
arcgis_10_6_reference_landscape_bottom.mxd, legend,430,70,7.8824,22.7377
arcgis_10_6_reference_landscape_bottom.mxd, legend_jpg,92.5,20,50,108.8237399
arcgis_10_6_reference_landscape_bottom.mxd, Location map,227,10,60,115
arcgis_10_6_reference_landscape_bottom.mxd, Main map,15,75,207,395
arcgis_10_6_reference_landscape_bottom.mxd, map_name,430,57,4.1216,75.9171
arcgis_10_6_reference_landscape_bottom.mxd, map_name_label,430,61,4,22.5
arcgis_10_6_reference_landscape_bottom.mxd, map_no,386,282,5,14
arcgis_10_6_reference_landscape_bottom.mxd, map_producer,348,30.5,7,62
arcgis_10_6_reference_landscape_bottom.mxd, map_version,402.5,282,5,7.5
arcgis_10_6_reference_landscape_bottom.mxd, mapaction_logo,10,50,20,49.2
arcgis_10_6_reference_landscape_bottom.mxd, mxd_name,430,49,4.1216,75.9171
arcgis_10_6_reference_landscape_bottom.mxd, mxd_name_label,430,53,4,22.5
arcgis_10_6_reference_landscape_bottom.mxd, north_arrow,20,80,10,4.9
arcgis_10_6_reference_landscape_bottom.mxd, scale,366.4481,57.5,3.153,25.1038
arcgis_10_6_reference_landscape_bottom.mxd, scale_bar,351.9004,61.7292,7.992,16.7493
arcgis_10_6_reference_landscape_bottom.mxd, spatial_reference,370,44.5,4,40
arcgis_10_6_reference_landscape_bottom.mxd, spatial_reference_label,348,42.5,7,20
arcgis_10_6_reference_landscape_bottom.mxd, summary,-70,10,60,63.5
arcgis_10_6_reference_landscape_bottom.mxd, timezone,430,45,3.153,14.5108
arcgis_10_6_reference_landscape_bottom.mxd, title,10,10,27.5,55
arcgis_10_6_reference_landscape_bottom.mxd, vertical_divide1,70,10,60,0
arcgis_10_6_reference_landscape_bottom.mxd, vertical_divide2,224,10,60,0.3528
arcgis_10_6_reference_landscape_bottom.mxd, vertical_divide3,345,10,60,0.3528
arcgis_10_6_reference_landscape_bottom.mxd, working_space,10,10,277,400
,,,,,
arcgis_10_6_reference_landscape_side.mxd, country,1,25.7,0.8,6.2
arcgis_10_6_reference_landscape_side.mxd, create_date_time,3.3,5.1,0.4,4
arcgis_10_6_reference_landscape_side.mxd, create_date_time_label,1,5.1,0.4,2.25
arcgis_10_6_reference_landscape_side.mxd, data_sources,1,6.1,0.7,6.2
arcgis_10_6_reference_landscape_side.mxd, disclaimer,1,1,1,6.2
arcgis_10_6_reference_landscape_side.mxd, donor_credit,1,1.9,1.05,6.2
arcgis_10_6_reference_landscape_side.mxd, glide_no,3.3,4,0.4,4
arcgis_10_6_reference_landscape_side.mxd, glide_no_label,1,4,0.4,2.25
arcgis_10_6_reference_landscape_side.mxd, horizontal_divide1,1,22.35,0.0352,6.2
arcgis_10_6_reference_landscape_side.mxd, horizontal_divide2,1,14.6,0.0352,6.2
arcgis_10_6_reference_landscape_side.mxd, horizontal_divide3,1,9,0.0352,6.2
arcgis_10_6_reference_landscape_side.mxd, horizontal_divide4,1,7.1,0.0352,6.2
arcgis_10_6_reference_landscape_side.mxd, horizontal_divide5,1,5.8,0.0352,6.2
arcgis_10_6_reference_landscape_side.mxd, legend,43,3.5,0.7882,2.2738
arcgis_10_6_reference_landscape_side.mxd, legend_jpg,1,16.05,4.8162,6.2
arcgis_10_6_reference_landscape_side.mxd, Location map,1,9.3,5,6.2
arcgis_10_6_reference_landscape_side.mxd, Main map,7.7,1.5,26.7,33.3
arcgis_10_6_reference_landscape_side.mxd, map_name,43,2.2,0.4122,7.5917
arcgis_10_6_reference_landscape_side.mxd, map_name_label,43,2.6,0.4,2.25
arcgis_10_6_reference_landscape_side.mxd, map_no,38.6,28.2,0.5,1.4
arcgis_10_6_reference_landscape_side.mxd, map_producer,1,3.05,0.7,6.2
arcgis_10_6_reference_landscape_side.mxd, map_version,40.25,28.2,0.5,0.75
arcgis_10_6_reference_landscape_side.mxd, mapaction_logo,1,26.7,2,4.92
arcgis_10_6_reference_landscape_side.mxd, mxd_name,43,1.4,0.4122,7.5917
arcgis_10_6_reference_landscape_side.mxd, mxd_name_label,43,1.8,0.4,2.25
arcgis_10_6_reference_landscape_side.mxd, north_arrow,40,2,1,0.49
arcgis_10_6_reference_landscape_side.mxd, scale,2.8462,7.384,0.3153,2.275
arcgis_10_6_reference_landscape_side.mxd, scale_bar,2.1993,7.9,0.8145,3.928
arcgis_10_6_reference_landscape_side.mxd, spatial_reference,3.3,4.55,0.4,4
arcgis_10_6_reference_landscape_side.mxd, spatial_reference_label,1,4.4,0.7,2.25
arcgis_10_6_reference_landscape_side.mxd, summary,-7,16.6,4.9,6
arcgis_10_6_reference_landscape_side.mxd, timezone,43,1,0.3153,1.451
arcgis_10_6_reference_landscape_side.mxd, title,1,22.65,2.75,6.2
arcgis_10_6_reference_landscape_side.mxd, working_space,0.9678,1,27.7,40
,,,,,
arcgis_10_6_reference_portrait_bottom.mxd, country,10,42,8,55
arcgis_10_6_reference_portrait_bottom.mxd, create_date_time,247,49.5,4,40
arcgis_10_6_reference_portrait_bottom.mxd, create_date_time_label,225,49.5,4,20
arcgis_10_6_reference_portrait_bottom.mxd, data_sources,73,10,5,90
arcgis_10_6_reference_portrait_bottom.mxd, disclaimer,225,10,10,62
arcgis_10_6_reference_portrait_bottom.mxd, donor_credit,225,19,10.5,62
arcgis_10_6_reference_portrait_bottom.mxd, glide_no,247,38.5,4,40
arcgis_10_6_reference_portrait_bottom.mxd, glide_no_label,225,38.5,4,20
arcgis_10_6_reference_portrait_bottom.mxd, horizontal_divide1,73,17,0,90
arcgis_10_6_reference_portrait_bottom.mxd, horizontal_divide2,225,55,0,62
arcgis_10_6_reference_portrait_bottom.mxd, legend,307.0003,45.3535,7.882,22.738
arcgis_10_6_reference_portrait_bottom.mxd, legend_jpg,73,25,40.0893325,90
arcgis_10_6_reference_portrait_bottom.mxd, Location map,169,10,60,50
arcgis_10_6_reference_portrait_bottom.mxd, Main map,15,75,330,272
arcgis_10_6_reference_portrait_bottom.mxd, map_name,307.0003,26.9697,4.122,75.917
arcgis_10_6_reference_portrait_bottom.mxd, map_name_label,307.0003,32.6263,4,22.5
arcgis_10_6_reference_portrait_bottom.mxd, map_no,263,405,5,14
arcgis_10_6_reference_portrait_bottom.mxd, map_producer,225,30.5,7,62
arcgis_10_6_reference_portrait_bottom.mxd, map_version,279.5,405,5,7.5
arcgis_10_6_reference_portrait_bottom.mxd, mapaction_logo,10,50,20,49.2
arcgis_10_6_reference_portrait_bottom.mxd, mxd_name,307.0003,15.6566,4.122,75.917
arcgis_10_6_reference_portrait_bottom.mxd, mxd_name_label,307.0003,21.3131,4,22.5
arcgis_10_6_reference_portrait_bottom.mxd, north_arrow,20,390,10,4.9
arcgis_10_6_reference_portrait_bottom.mxd, scale,244.625,57.5411,3.153,22.75
arcgis_10_6_reference_portrait_bottom.mxd, scale_bar,235.0593,61.2,8.1142,41.8411
arcgis_10_6_reference_portrait_bottom.mxd, spatial_reference,247,44,4,40
arcgis_10_6_reference_portrait_bottom.mxd, spatial_reference_label,225,42.5,7,20
arcgis_10_6_reference_portrait_bottom.mxd, summary,-70,30,40,63.5
arcgis_10_6_reference_portrait_bottom.mxd, timezone,307,10,3.153,14.5108
arcgis_10_6_reference_portrait_bottom.mxd, title,10,10,29,55
arcgis_10_6_reference_portrait_bottom.mxd, vertical_divide1,70,10,60,0
arcgis_10_6_reference_portrait_bottom.mxd, vertical_divide2,166,10,60,0
arcgis_10_6_reference_portrait_bottom.mxd, vertical_divide3,222,10,60,0
arcgis_10_6_reference_portrait_bottom.mxd, working_space,10,10,400,277
,,,,,
arcgis_10_6_thematic_landscape.mxd, country,1,28,0.7,10
arcgis_10_6_thematic_landscape.mxd, create_date_time,-12,11,0.5,5
arcgis_10_6_thematic_landscape.mxd, create_date_time_label,-18,11,0.5,2.5
arcgis_10_6_thematic_landscape.mxd, data_sources,-12,11.6,1.4,10
arcgis_10_6_thematic_landscape.mxd, data_sources_label,-18,12.5271,0.4729,2.8468
arcgis_10_6_thematic_landscape.mxd, disclaimer,-18,1,1,16
arcgis_10_6_thematic_landscape.mxd, donor_credit,-12,3.4,1.1,10
arcgis_10_6_thematic_landscape.mxd, donor_credit_label,-18,4.0271,0.4729,2.6576
arcgis_10_6_thematic_landscape.mxd, glide_no,-12,2.5,0.5,4.8014
arcgis_10_6_thematic_landscape.mxd, glide_no_label,-18,2.5271,0.4729,2.8695
arcgis_10_6_thematic_landscape.mxd, legend,42.4201,1.0279,0.7882,2.2738
arcgis_10_6_thematic_landscape.mxd, legend_image,1,2.3,7.0115,6.7468
arcgis_10_6_thematic_landscape.mxd, Main map,1,1,27.7,40
arcgis_10_6_thematic_landscape.mxd, map_name,-11.9826,9.9768,0.4729,6.3072
arcgis_10_6_thematic_landscape.mxd, map_name_label,-18,9.9781,0.4729,3.1279
arcgis_10_6_thematic_landscape.mxd, map_no,38.5,28.7,0.5,1.4003
arcgis_10_6_thematic_landscape.mxd, map_producer,-12,4.9,1.1,10
arcgis_10_6_thematic_landscape.mxd, map_producer_label,-18,5.5271,0.4729,2.9638
arcgis_10_6_thematic_landscape.mxd, map_version,40.2,28.7,0.5,0.7502
arcgis_10_6_thematic_landscape.mxd, mapaction_logo,37.3,27.2,1.5,3.69
arcgis_10_6_thematic_landscape.mxd, mxd_name,-12,9.5,0.4729,6.3072
arcgis_10_6_thematic_landscape.mxd, mxd_name_label,-18,9.5271,0.4729,3.1279
arcgis_10_6_thematic_landscape.mxd, north_arrow,39.5,2.25,1.1616,0.5692
arcgis_10_6_thematic_landscape.mxd, scale,-12,7.5,0.4729,3.7656
arcgis_10_6_thematic_landscape.mxd, scale_bar,38.5,1,1.1082,2.5
arcgis_10_6_thematic_landscape.mxd, scale_label,-18,7.5271,0.4729,1.2473
arcgis_10_6_thematic_landscape.mxd, source_production_info,1,1,1,6.5273
arcgis_10_6_thematic_landscape.mxd, spatial_reference,-12,8.5,0.4729,2.0706
arcgis_10_6_thematic_landscape.mxd, spatial_reference_label,-18,8.5271,0.4729,3.8338
arcgis_10_6_thematic_landscape.mxd, summary,-12,16.2,3.2,10.3
arcgis_10_6_thematic_landscape.mxd, summary_label,-18,18.9,0.4729,2.0704
arcgis_10_6_thematic_landscape.mxd, timezone,-5.465,11,0.4729,2.1766
arcgis_10_6_thematic_landscape.mxd, title,1,27.3,0.7,36
arcgis_10_6_thematic_landscape.mxd, unused_elements,-19,0,29.7,18
arcgis_10_6_thematic_landscape.mxd, unused_map_elements,-17.7946,26.9467,1.7533,15.5893
arcgis_10_6_thematic_portrait.mxd, country,1,40.3,0.7,10
arcgis_10_6_thematic_portrait.mxd, create_date_time,-12,19.5,0.5,5
arcgis_10_6_thematic_portrait.mxd, create_date_time_label,-18,19.5,0.7,4.4079
arcgis_10_6_thematic_portrait.mxd, data_sources,-12,17.8,1.3737,9.9915
arcgis_10_6_thematic_portrait.mxd, data_sources_label,-18,17.8,0.6687,4.025
arcgis_10_6_thematic_portrait.mxd, disclaimer,-18,7.15,0.9999,16.0001
arcgis_10_6_thematic_portrait.mxd, donor_credit,-12,9.5,1.1,10
arcgis_10_6_thematic_portrait.mxd, donor_credit_label,-18,9.5,0.6687,3.7576
arcgis_10_6_thematic_portrait.mxd, glide_no,-12,8.4,0.6687,6.4207
arcgis_10_6_thematic_portrait.mxd, glide_no_label,-18,8.4,0.6687,4.0572
arcgis_10_6_thematic_portrait.mxd, legend,30.7544,1.2712,0.5518,1.7561
arcgis_10_6_thematic_portrait.mxd, legend_image,1.2972,2.8234,7.0114,6.7469
arcgis_10_6_thematic_portrait.mxd, Main map,1,1,40,27.7
arcgis_10_6_thematic_portrait.mxd, map_name,-12,16.4084,0.6306,7.593
arcgis_10_6_thematic_portrait.mxd, map_name_label,-18,16.3893,0.6687,4.4225
arcgis_10_6_thematic_portrait.mxd, map_no,26.31,40.9,0.5,1.4003
arcgis_10_6_thematic_portrait.mxd, map_producer,-12,11,1.1,10
arcgis_10_6_thematic_portrait.mxd, map_producer_label,-18,11,0.6687,4.1904
arcgis_10_6_thematic_portrait.mxd, map_version,27.96,40.9,0.5,0.7502
arcgis_10_6_thematic_portrait.mxd, mapaction_logo,25,39.5,1.5,3.69
arcgis_10_6_thematic_portrait.mxd, mxd_name,-12,15.4,0.6306,7.593
arcgis_10_6_thematic_portrait.mxd, mxd_name_label,-18,15.4,0.6687,4.4225
arcgis_10_6_thematic_portrait.mxd, north_arrow,27.75,2,0.84,0.4172
arcgis_10_6_thematic_portrait.mxd, scale,-12,13.5,0.6306,6.3062
arcgis_10_6_thematic_portrait.mxd, scale_bar,27,0.75,0.9478,1.8182
arcgis_10_6_thematic_portrait.mxd, scale_label,-18,13.4,0.6687,1.7635
arcgis_10_6_thematic_portrait.mxd, source_production_info,1,0.75,1,6.5
arcgis_10_6_thematic_portrait.mxd, spatial_reference,-12,14.4191,0.6306,2.7608
arcgis_10_6_thematic_portrait.mxd, spatial_reference_label,-18,14.4,0.6687,5.4205
arcgis_10_6_thematic_portrait.mxd, summary,-12,22.4,3.2,10.4
arcgis_10_6_thematic_portrait.mxd, summary_label,-18,24.9,0.6687,2.9273
arcgis_10_6_thematic_portrait.mxd, timezone,-5,19.5,0.4729,2.1766
arcgis_10_6_thematic_portrait.mxd, title,1,39.6,0.7,23.7
arcgis_10_6_thematic_portrait.mxd, unused_elements,-19,6.15,29.7,18
arcgis_10_6_thematic_portrait.mxd, unused_map_elements,-18,33,1.7534,15.5895
